Contractyearmonth,Layer,surfacearea,Residentialarea,Dedicatedarea2,time,km2,fee,bus,subm,culture,sports
201907,3,935380,470140,85,24,6,1250,3,234,8,6
201907,16,935380,470140,85,24,6,1250,3,234,8,6
201907,25,935380,470140,85,24,6,1250,3,234,8,6
201907,17,935380,470140,85,24,6,1250,3,234,8,6
201908,29,935380,470140,60,24,6,1250,3,234,8,6
201908,1,935380,470140,85,24,6,1250,3,234,8,6
201908,19,935380,470140,85,24,6,1250,3,234,8,6
201909,8,935380,470140,85,24,6,1250,3,234,8,6
201909,7,935380,470140,60,24,6,1250,3,234,8,6
201909,9,935380,470140,85,24,6,1250,3,234,8,6
201910,17,935380,470140,60,24,6,1250,3,234,8,6
201910,19,935380,470140,60,24,6,1250,3,234,8,6
201910,18,935380,470140,85,24,6,1250,3,234,8,6
201910,11,935380,470140,60,24,6,1250,3,234,8,6
201910,23,935380,470140,120,24,6,1250,3,234,8,6
201910,14,935380,470140,85,24,6,1250,3,234,8,6
201910,16,935380,470140,85,24,6,1250,3,234,8,6
201910,6,935380,470140,85,24,6,1250,3,234,8,6
201910,16,935380,470140,60,24,6,1250,3,234,8,6
