Price
3.3
4.21
6.95
3.5
5.25
5.45
6.875
4.38
6.43
5.75
4.1
4.37
4.34
4.42
2.93
4.475
5.68
3.43
3.88
4.05
3.87
4
2.65
4.9
2.7
5.5
7.2
3.2
3.25
2.97
3.1
2.48
3.7
5.27
6.33
7.3
6.95
5.5
5.995
5.39
5.7
5.4
4.9
8.45
7.8
3.25
5.86
6
4
7.1
6.175
8.45
11.3
6.28
14
8.95
9
6
7.2
8.7
6.98
8.6
5.7
10
8.7
13.7
5.6
9.95
12.3
5.8
16
9
7.5
9.92
6.15
8
6.5
8.15
9.8
8.5
10.97
8.75
7.9
14
6.2
2.8
10
7.97
8.95
7.48
11.8
8.8
14.75
4.14
7.8
7.45
9.25
8.33
8.25
7.45
8.5
7.3
5.35
6
1.5
7.6
4.25
4.72
4.43
6
6
10.8
31.7
25.5
35.5
15
8.7
10.2
12
22
14.5
10.4
10.9
14.8
4.4
3.3
17.975
16.65
3.1
17.5
14
15.95
3.16
12.8
10
12.1
3.35
17
11.5
13.6
13.7
10.5
9.2
14.32
16
8.5
8.7
8.2
10.9
8
8.4
8.4
6.3
18.35
6
6.7
11.43
8.2
5.8
6.7
8
5.3
4.395
5
4
6
5.33
8.3
6
5.8
8.9
5.45
7.27
5.98
4.9
4.17
5.2
7.4
7.25
11.1
3.6
9.88
10.7
8.65
14.7
6.5
15
15.8
7.9
9.45
11.5
8.5
9
8.37
9.8
9
8.9
9
8.5
8
10
5
7.3
7.3
11.42
3.18
5.15
3.8
2.65
8
6.45
7.75
3.15
2.5
8.6
9.5
4.9
6.8
7.8
13.2
13.3
18
7.5
10.2
12
24
21.1
8.9
12.75
13.2
45.8
4.6
13.75
9.9
6.3
4.39
5.87
4.37
5.17
5.8
6.9
3.6
3.45
3.25
5.7
7.2
6
5.6
7.02
7.6
6.8
6.5
3.18
8.55
7.8
13.9
3.78
5
4.72
3.95
5.93
17.1
21.7
17.35
20.8
21.1
15.8
15.2
12.6
12.6
13.3
15.95
15.8
12.95
15.2
15.7
16.6
13.48
17.5
13.4
15.85
17
13.3
16
14.5
15.9
16
16.4
14
15.2
14
15.9
15.5
17
17
16.5
16.7
17.3
16.1
14.48
16.8
14
18.2
16.8
18.05
17.5
17.85
15.5
17.5
18.2
15.2
16
17.8
17.6
17
18.7
19
18.45
15.5
16.9
19.5
18.3
15.7
19
16
15.3
19.25
16
25
19.8
19.7
18
16
